gamma,omega,seed,trajectory_length,burn_in,dt,analytic_covariance_diff,empirical_covariance_diff,cov_a_target_diff,cov_b_target_diff,normalized_generator_difference,normalized_current_difference,c_only_predictor_difference,lagged_antisymmetric_a,lagged_antisymmetric_b,lagged_antisymmetric_delta,orientation_a,orientation_b
0.25,0.0,72,5000,1000,0.01,0.0,0.4154234571655036,0.3721897929912183,0.37434886527058236,0.0,0.0,0.41198521769779783,0.004138352376299212,0.00012923865172424868,-0.004009113724574963,-0.0028140389726481435,0.00011619222773244525
0.25,0.0,73,5000,1000,0.01,0.0,0.49104354722427224,0.6190112567473013,0.36553029136410664,0.0,0.0,1.0558454873846563,0.0012042418253381151,0.00017970507222372247,-0.0010245367531143926,0.0015820589640043047,-0.0003237217475422404
0.25,0.0,74,5000,1000,0.01,0.0,0.5194458652474654,0.2526989453543566,0.4201085333756822,0.0,0.0,0.5254183531442034,0.0006411592610687049,0.000993573093920822,0.0003524138328521171,0.0008533537414870057,-0.0006756228940305606
0.25,0.0,75,5000,1000,0.01,0.0,0.5302046752133198,0.4798805019919928,0.4479644255374287,0.0,0.0,0.4497527580547573,0.0011768846118838437,0.0035542616912113425,0.0023773770793274985,-0.0008577339003023861,-0.0021314527437435215
0.25,0.0,76,5000,1000,0.01,0.0,0.5049483561366974,0.5047064615565146,0.20540584380076626,0.0,0.0,1.2054543018342652,0.0008175578569528502,0.0004745044799057539,-0.00034305337704709625,-0.0005171685116905724,0.00041917353671298624
0.25,0.0,77,5000,1000,0.01,0.0,0.21679395435730633,0.273788867844023,0.3502956846155241,0.0,0.0,0.25111266146709477,0.0019507057331460418,0.00028862020904034727,-0.0016620855241056944,0.0019527189424767123,-0.00026021571448875224
0.25,0.0,78,5000,1000,0.01,0.0,0.8647711276845683,0.601599420016581,0.3014624386895294,0.0,0.0,0.31517192001393934,0.00048066663484962717,0.0018507297780585394,0.0013700631432089123,-0.0004274725360932431,-0.0014730814324721746
0.25,0.0,79,5000,1000,0.01,0.0,0.649271747673795,0.4960460991002,0.7176150421822916,0.0,0.0,0.6830031290054007,0.00021729727548962114,0.0004443415449736724,0.0002270442694840513,1.0544897088808516e-05,0.00013867999048207776
0.25,0.0,80,5000,1000,0.01,0.0,0.5248119717276071,0.39212509377842414,0.20103879395046165,0.0,0.0,0.8631110527558649,0.00013734691368631253,0.0022723265050282205,0.002134979591341908,-0.00013536854936711592,0.0019786228517248323
0.25,0.0,81,5000,1000,0.01,0.0,1.2254310582604548,0.6790030808281009,0.4114947614290413,0.0,0.0,0.8943922511252885,0.0007691157711624846,0.002585881836549389,0.0018167660653869047,0.0011001750472813758,0.0022148486687472583
0.25,0.0,82,5000,1000,0.01,0.0,0.5121295208210371,0.42488806411543145,0.385523524138873,0.0,0.0,0.5307250256495576,0.00208167012885195,0.0013982870391708027,-0.0006833830896811471,0.0016006234634255562,0.0006058029957928174
0.25,0.0,83,5000,1000,0.01,0.0,0.5808952971735619,0.40528520755449743,0.44976729682444055,0.0,0.0,0.6231135488261996,0.0037794307560569005,0.0007996144620489936,-0.002979816294007907,-0.0025330576964400545,0.0008610005607481687
0.25,0.0,84,5000,1000,0.01,0.0,0.2583511006418161,0.1456932216781236,0.23204507952595807,0.0,0.0,0.2567473844372705,0.001836134424081642,0.002870144609097239,0.001034010185015597,0.0016508831355386696,0.0026276212971138913
0.25,0.0,85,5000,1000,0.01,0.0,0.26591219552272793,0.2439755938980081,0.19390861198073267,0.0,0.0,0.18793298692316668,0.00014244719353974058,0.00030018025779294735,0.00015773306425320678,-0.0004031867491142635,0.0001668954019768236
0.25,0.0,86,5000,1000,0.01,0.0,0.7921451070938951,0.31913241502689554,0.4612846324433125,0.0,0.0,0.4122140420982491,0.0016569041861182689,0.0020131629640782415,0.0003562587779599726,-0.0016885572480370857,0.0012277366735516252
