dimension,condition,beta,sample_size,seed,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,trajectory_error
2,1.5,0.5,2000,41,0.9893408011539109,0.006926510314423471,0.9999872728269672,0.0025226150154991833,0.0004912397887573496,0.0010983903086853148
2,1.5,0.5,2000,42,1.008365256357198,0.018813828678047047,0.9998956969479831,0.007221601346547002,0.006767958751040126,0.0029875046166954904
2,1.5,0.5,2000,43,1.013003374577002,0.021955643287339663,0.9998712205671219,0.00802432031010172,0.006088263309956994,0.0034844065058124572
2,1.5,0.5,2000,44,1.013492701997477,0.029514828102676128,0.9997525967656682,0.01112212287137042,0.013680791495585135,0.004690887176008061
2,1.5,0.5,2000,45,1.0092098981225766,0.014401796105400145,0.9999429094907517,0.005342775928688043,0.0061852850088895215,0.00228821650531762
2,1.5,0.5,2000,46,1.0212613497775347,0.03542413420163167,0.9996321688237206,0.013561548146862699,0.010468702249264541,0.00562243637858473
2,1.5,0.5,2000,47,0.9986209967388503,0.019233683256013323,0.9998973174019585,0.007165284294483581,0.005554646467798437,0.0030526407829517357
2,1.5,0.5,2000,48,1.0084650941187223,0.02700088914596385,0.9997942354584985,0.010143089802948894,0.011994416045595375,0.0042905530207222155
2,1.5,0.5,2000,49,1.0336854847328465,0.021069884304256475,0.9998584336281857,0.008413274386775683,0.006230465800993271,0.003344219374820485
2,1.5,0.5,2000,50,0.9529612445893992,0.03206018637928729,0.9996618609592126,0.013002673586370634,0.01498934582789595,0.005095616592309469
2,1.5,0.5,2000,51,0.9988058782169024,0.021115701049032355,0.999867149055387,0.008150182348051219,0.000592842617152869,0.0033483258875328576
2,1.5,0.5,2000,52,1.023833405024131,0.03079603248010241,0.9997292487932772,0.011635102206744147,0.006123713995084862,0.0048854053462167885
2,1.5,0.5,2000,53,0.9835010877474958,0.019316336157323505,0.9998815727508232,0.007695038959510605,0.004445496869847287,0.003064725222857854
2,1.5,0.5,2000,54,1.0072092532494734,0.02482560591256919,0.9998278707566254,0.009277102009103443,0.009430796348481114,0.0039426737321642214
2,1.5,0.5,2000,55,0.990692630493662,0.006141319107594836,0.999988296423294,0.0024190469927267357,0.002279194256128555,0.000975280518455023
2,1.5,0.5,2000,56,1.0110954207480345,0.0342519906410394,0.9996748707702209,0.01275008293657597,0.0033349807870689616,0.0054318632421551105
2,1.5,0.5,2000,57,0.9501473879151339,0.04938147108122564,0.9992259776834613,0.01967259917421408,0.02367036213466388,0.00784941219301927
2,1.5,0.5,2000,58,0.9760052040042118,0.029195287526760042,0.9997300671225398,0.011617505701746354,0.00636423854314004,0.004631840567298804
2,1.5,0.5,2000,59,1.0129495810880387,0.029170832319345644,0.9997652927263463,0.010832988360872554,0.011361280917695988,0.004633111788205389
2,1.5,0.5,2000,60,0.9916201515637314,0.021972941592849425,0.9998523046615693,0.008593466658769552,0.009780638060369842,0.0034916374760084992
2,1.5,0.5,2000,61,0.971513776669779,0.047358252576740166,0.9994176476515466,0.017063885085955636,0.014131245159605638,0.007516702842336329
2,1.5,0.5,2000,62,1.0005706886659027,0.015058214537162929,0.9999393109666079,0.005508585725576046,0.004714202668088137,0.002390292672874708
2,1.5,0.5,2000,63,1.0222993435687016,0.04323874543486528,0.999438386979062,0.01675728231155163,0.0027013821683094298,0.006856619065502124
2,1.5,0.5,2000,64,1.0141272291466448,0.02624862668067423,0.9998079590254748,0.009799004401600695,0.010060763416333853,0.0041687824418716705
2,1.5,0.5,2000,65,0.9969138063153388,0.03811676562667245,0.9996132330103102,0.01390623942138557,0.011784155698491833,0.006050477301503788
2,1.5,0.5,2000,66,1.0416777696060062,0.01276304163510202,0.9999534060786849,0.004826692517403185,0.003057669781146322,0.00202508723313065
2,1.5,0.5,2000,67,0.9904584062184489,0.051367313422089195,0.9991307237720267,0.020847976256381913,0.018646214090596427,0.00815668784236806
2,1.5,0.5,2000,68,1.0267987659474627,0.025701843804315058,0.9998160835399961,0.009589485387753801,0.007484182982315335,0.004079292574792635
2,1.5,0.5,2000,69,1.0224384994833473,0.005898172434948117,0.9999898722261108,0.002250308188809643,0.00012858923516648172,0.0009352725858866665
2,1.5,0.5,2000,70,0.9640578689508861,0.04096362942007119,0.9995041132640375,0.0157462175769686,0.018513199298635458,0.006509678624366692
2,1.5,0.5,2000,71,1.0055501565707543,0.03205154734277655,0.999690617219501,0.012437499356762076,0.005144057516714505,0.005083796988978515
2,1.5,0.5,2000,72,1.0094169806138384,0.03244377707363368,0.9996678702386033,0.012886616340156141,0.00046523199295663676,0.005144591287519874
2,1.5,0.5,2000,73,1.0246053504678132,0.006697834723587799,0.9999872170391264,0.0025281377408655145,0.0012519554594463199,0.001062471437875169
2,1.5,0.5,2000,74,1.0030727424983201,0.06133053057070717,0.9989575200805717,0.022830680228897046,0.015206606216149046,0.009731707220496153
