seed,forward_reverse_symmetric_feature_difference,forward_reverse_transition_difference,current_sign_reversal_error,symmetric_information_accuracy,symmetric_information_AUC,asymmetric_current_accuracy,asymmetric_current_AUC,entropy_production_AUC,entropy_production_forward,entropy_production_reverse,detailed_balance_residual_forward,detailed_balance_residual_reverse,reversible_negative_control_current_norm,probability_current_baseline_accuracy,input_A_has_asymmetric_information,input_B_has_explicit_current,timestamps_hidden,forward_reverse_metadata_stripped,stage
20002,0.0,0.14203793025759037,0.0,0.5,0.5,1.0,1.0,0.5,0.045716518300512585,0.045716518300512585,0.03550948256439759,0.03550948256439759,4.2491873609703695e-18,1.0,False,True,True,True,confirmation
20003,0.0,0.1531058894621329,0.0,0.5,0.5,1.0,1.0,0.5,0.056202276281900956,0.056202276281900956,0.03827647236553323,0.03827647236553323,0.0,1.0,False,True,True,True,confirmation
20004,0.0,0.15955151497665568,0.0,0.5,0.5,1.0,1.0,0.5,0.059602367335725145,0.059602367335725145,0.03988787874416392,0.03988787874416392,0.0,1.0,False,True,True,True,confirmation
20005,0.0,0.1496628300261886,0.0,0.5,0.5,1.0,1.0,0.5,0.05327654110208155,0.05327654110208155,0.03741570750654715,0.03741570750654715,0.0,1.0,False,True,True,True,confirmation
20006,0.0,0.14342191474508012,0.0,0.5,0.5,1.0,1.0,0.5,0.04953288752140388,0.04953288752140388,0.03585547868627003,0.03585547868627003,0.0,1.0,False,True,True,True,confirmation
20007,0.0,0.1474084895426677,0.0,0.5,0.5,1.0,1.0,0.5,0.04935312119220044,0.04935312119220044,0.03685212238566692,0.03685212238566692,9.813077866773595e-18,1.0,False,True,True,True,confirmation
20008,0.0,0.1602846984477788,0.0,0.5,0.5,1.0,1.0,0.5,0.05857582188798464,0.05857582188798464,0.0400711746119447,0.0400711746119447,0.0,1.0,False,True,True,True,confirmation
20009,0.0,0.15235624534249362,0.0,0.5,0.5,1.0,1.0,0.5,0.055588807953209904,0.055588807953209904,0.038089061335623405,0.038089061335623405,0.0,1.0,False,True,True,True,confirmation
20010,0.0,0.14389159055030626,0.0,0.5,0.5,1.0,1.0,0.5,0.04746363003759704,0.04746363003759704,0.035972897637576565,0.035972897637576565,0.0,1.0,False,True,True,True,confirmation
20011,0.0,0.14932144417509735,0.0,0.5,0.5,1.0,1.0,0.5,0.05468736152514332,0.05468736152514332,0.03733036104377434,0.03733036104377434,0.0,1.0,False,True,True,True,confirmation
20012,0.0,0.15114560006887923,0.0,0.5,0.5,1.0,1.0,0.5,0.056512906409598176,0.056512906409598176,0.03778640001721981,0.03778640001721981,0.0,1.0,False,True,True,True,confirmation
20013,0.0,0.16395246759040713,0.0,0.5,0.5,1.0,1.0,0.5,0.062301849338241594,0.062301849338241594,0.04098811689760178,0.04098811689760178,0.0,1.0,False,True,True,True,confirmation
20014,0.0,0.15269442296824054,0.0,0.5,0.5,1.0,1.0,0.5,0.05323816814158331,0.05323816814158331,0.038173605742060135,0.038173605742060135,4.9065389333867974e-18,1.0,False,True,True,True,confirmation
20015,0.0,0.16485365955382192,0.0,0.5,0.5,1.0,1.0,0.5,0.06437113833755223,0.06437113833755223,0.04121341488845548,0.04121341488845548,4.2491873609703695e-18,1.0,False,True,True,True,confirmation
20016,0.0,0.1424866003835766,0.0,0.5,0.5,1.0,1.0,0.5,0.04762203358936587,0.04762203358936587,0.03562165009589415,0.03562165009589415,0.0,1.0,False,True,True,True,confirmation
20017,0.0,0.16071868541530426,0.0,0.5,0.5,1.0,1.0,0.5,0.061780132196006046,0.061780132196006046,0.040179671353826066,0.040179671353826066,0.0,1.0,False,True,True,True,confirmation
20018,0.0,0.15409384528105768,0.0,0.5,0.5,1.0,1.0,0.5,0.05672791838705368,0.05672791838705368,0.03852346132026442,0.03852346132026442,0.0,1.0,False,True,True,True,confirmation
20019,0.0,0.15209457426506012,0.0,0.5,0.5,1.0,1.0,0.5,0.05682111889002355,0.05682111889002355,0.03802364356626503,0.03802364356626503,0.0,1.0,False,True,True,True,confirmation
20020,0.0,0.15712266853685053,0.0,0.5,0.5,1.0,1.0,0.5,0.059338349098274984,0.059338349098274984,0.03928066713421263,0.03928066713421263,0.0,1.0,False,True,True,True,confirmation
20021,0.0,0.15032355162377156,0.0,0.5,0.5,1.0,1.0,0.5,0.05476036068076054,0.05476036068076054,0.03758088790594289,0.03758088790594289,0.0,1.0,False,True,True,True,confirmation
20022,0.0,0.1631331251954344,0.0,0.5,0.5,1.0,1.0,0.5,0.063844422366719,0.063844422366719,0.0407832812988586,0.0407832812988586,0.0,1.0,False,True,True,True,confirmation
20023,0.0,0.16408339570518216,0.0,0.5,0.5,1.0,1.0,0.5,0.06250386806436269,0.06250386806436269,0.04102084892629554,0.04102084892629554,0.0,1.0,False,True,True,True,confirmation
20024,0.0,0.166597303102854,0.0,0.5,0.5,1.0,1.0,0.5,0.07026445215607376,0.07026445215607376,0.0416493257757135,0.0416493257757135,0.0,1.0,False,True,True,True,confirmation
20025,0.0,0.14486329064440723,0.0,0.5,0.5,1.0,1.0,0.5,0.049219068487269105,0.049219068487269105,0.03621582266110181,0.03621582266110181,0.0,1.0,False,True,True,True,confirmation
20026,0.0,0.15809726378325212,0.0,0.5,0.5,1.0,1.0,0.5,0.0604265970648727,0.0604265970648727,0.03952431594581303,0.03952431594581303,0.0,1.0,False,True,True,True,confirmation
20027,0.0,0.15595662687499837,0.0,0.5,0.5,1.0,1.0,0.5,0.05784099828387393,0.05784099828387393,0.03898915671874959,0.03898915671874959,0.0,1.0,False,True,True,True,confirmation
20028,0.0,0.160108192383,0.0,0.5,0.5,1.0,1.0,0.5,0.0631441798208318,0.0631441798208318,0.04002704809575,0.04002704809575,4.2491873609703695e-18,1.0,False,True,True,True,confirmation
20029,0.0,0.14439686073350066,0.0,0.5,0.5,1.0,1.0,0.5,0.05053450629488443,0.05053450629488443,0.036099215183375166,0.036099215183375166,0.0,1.0,False,True,True,True,confirmation
