stage,seed,dimension,true_rank,strength,rank,method,train_samples,heldout_samples,field_evaluation_samples,cca_identity_diff,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,stability_max_real_eigenvalue
development,0,4,2,0.25,4,pca_rank_matched,2000,1000,64,0.0,0.9799199883674664,0.068918708493893,0.9979671396609544,0.0318815019960286,0.0116970061711142,2.220446049250313e-16
development,0,4,2,0.25,4,random_rank_matched,2000,1000,64,0.0,0.9795864007281704,0.0769823524912784,0.997595601346875,0.0346727461641351,0.012554503461707,2.220446049250313e-16
development,0,4,2,0.25,4,raw_svd,2000,1000,64,0.0,0.9799199674434488,0.0689187103062787,0.997967139547288,0.0318815028873484,0.0116970082205906,3.3306690738754696e-16
development,0,4,2,0.25,4,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.5,1,correlon,2000,1000,64,0.0,0.9780178321855842,0.0617700652245232,0.998176887543798,0.0301919894690805,0.0073978920646427,4.579669976578771e-16
development,0,4,2,0.5,1,cca_equivalent,2000,1000,64,0.0,0.9780178321855842,0.0617700652245232,0.998176887543798,0.0301919894690805,0.0073978920646427,4.579669976578771e-16
development,0,4,2,0.5,1,block_diagonal,2000,1000,64,0.0,0.9819136994146628,0.0823438395912712,0.9967903467428352,0.0400602874251104,0.0032954820120516,4.440892098500121e-16
development,0,4,2,0.5,1,pca_rank_matched,2000,1000,64,0.0,1.0424000981954695,0.1985924025343537,0.9791801494556088,0.1020290413176342,0.1463359792345626,1.6653345369377348e-16
development,0,4,2,0.5,1,random_rank_matched,2000,1000,64,0.0,0.9710950395448338,0.1156499562887442,0.9942451801219728,0.0536414945635702,0.0119689843606226,3.469446951953614e-16
development,0,4,2,0.5,1,raw_svd,2000,1000,64,0.0,0.9795590650690916,0.0589074469237928,0.9985505867815204,0.0269203753547331,0.0092474090386508,4.163336342344337e-16
development,0,4,2,0.5,1,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,4.996003610813204e-16
development,0,4,2,0.5,2,correlon,2000,1000,64,0.0,0.9762239838193764,0.0495041144433761,0.9989796362786147,0.0225872056857993,0.0088787614544457,3.3306690738754696e-16
development,0,4,2,0.5,2,cca_equivalent,2000,1000,64,0.0,0.9762239838193764,0.0495041144433761,0.9989796362786147,0.0225872056857993,0.0088787614544457,3.3306690738754696e-16
development,0,4,2,0.5,2,block_diagonal,2000,1000,64,0.0,0.9819136994146628,0.0823438395912712,0.9967903467428352,0.0400602874251104,0.0032954820120516,4.440892098500121e-16
development,0,4,2,0.5,2,pca_rank_matched,2000,1000,64,0.0,1.0669595017379818,0.2210413863727196,0.9729032256383668,0.1163975394104902,0.1489640408311225,6.661338147750939e-16
development,0,4,2,0.5,2,random_rank_matched,2000,1000,64,0.0,0.96780362139988,0.1145903269909883,0.9937497689828482,0.0559027325680587,0.0143030250512323,2.7755575615628914e-16
development,0,4,2,0.5,2,raw_svd,2000,1000,64,0.0,0.9763785258967912,0.04915303252605,0.9989885779360976,0.0224880197427687,0.0092308818847377,3.3306690738754696e-16
