dimension,condition,beta,sample_size,seed,control,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,trajectory_error
4,1.5,1.0,2000,86,diagonal_only,1.0437762485388062,0.14216920520760695,0.9942366632562367,0.05368117334673015,0.025919925643562144,0.04377876238969683
4,1.5,1.0,2000,86,coordinate_shuffled,0.9956380321726925,0.22554529464066167,0.9840969795690666,0.08917124096628166,0.07896758930388566,0.06958265226845509
4,1.5,1.0,2000,86,random_SPD_matched_spectrum,1.0078571599859576,0.16562318511825533,0.9905192970260108,0.06885021050799037,0.06813087696580943,0.051236769855097605
4,1.5,1.0,2000,86,PCA_rank_matched,1.1488996444129704,0.25264788992303583,0.9741966745155902,0.11358548649455555,0.1564867999341475,0.07889140011036255
4,1.5,1.0,2000,86,unknown_symplectic_structure,0.04781175336415106,0.9988563641686653,,,,0.3108235183755951
4,1.5,1.0,2000,87,diagonal_only,1.009494289764597,0.12459121520266242,0.9952292760274317,0.048840167754463155,0.037380087665830605,0.03857637007035716
4,1.5,1.0,2000,87,coordinate_shuffled,0.9650880305471894,0.23539127544557298,0.9803399283983623,0.09914653700870672,0.08465922010573611,0.07292415683494605
4,1.5,1.0,2000,87,random_SPD_matched_spectrum,0.9660594433753532,0.2313147913829628,0.9810783294634965,0.0972668251165409,0.07492361718874253,0.0715991724501749
4,1.5,1.0,2000,87,PCA_rank_matched,1.1212536768241672,0.24725053192120613,0.9738401162244688,0.11436757358519796,0.17630612355902722,0.07726327086467816
4,1.5,1.0,2000,87,unknown_symplectic_structure,0.0,1.0,,,,0.3115186235372997
4,1.5,1.0,2000,88,diagonal_only,1.0040046039132453,0.10769625607219051,0.9959432270020372,0.04503761204794658,0.0478703396837558,0.03336339254601222
4,1.5,1.0,2000,88,coordinate_shuffled,0.9505191909842126,0.2870993954832207,0.9727144944024491,0.11680219517960885,0.048521163403960836,0.08868712383988561
4,1.5,1.0,2000,88,random_SPD_matched_spectrum,0.9647831314734774,0.23383826391809914,0.9812034599398365,0.09694467509916002,0.03400935850738038,0.07230658297360121
4,1.5,1.0,2000,88,PCA_rank_matched,1.096135953220101,0.26207920751990055,0.9719601999147223,0.11840565882861699,0.1638998575601326,0.08192226684825275
4,1.5,1.0,2000,88,unknown_symplectic_structure,0.09659839645602687,0.995323439793379,,,,0.3098688049499796
4,1.5,1.0,2000,89,diagonal_only,0.9820533063919494,0.10593365576219133,0.9962428640712735,0.043342449911873734,0.02453487276106443,0.03287327952103491
4,1.5,1.0,2000,89,coordinate_shuffled,0.9623074131500043,0.042656212765299885,0.9992810967417654,0.018959209612146883,0.026687225875614284,0.013218672961528231
4,1.5,1.0,2000,89,random_SPD_matched_spectrum,0.9440442734925875,0.19836314191535775,0.9870548426793213,0.08045233781773777,0.027985056528395495,0.06135896074798806
4,1.5,1.0,2000,89,PCA_rank_matched,1.0711656456902796,0.2584873426186618,0.9721845128130238,0.11793109680439728,0.22198088473920885,0.08081343799010698
4,1.5,1.0,2000,89,unknown_symplectic_structure,0.04456942482452514,0.9990062894550821,,,,0.311188687599165
4,1.5,1.0,2000,90,diagonal_only,1.01005443518775,0.13372449034481726,0.9945710002167074,0.05210086267660379,0.009583857397897987,0.04117534113180804
4,1.5,1.0,2000,90,coordinate_shuffled,0.9707717675040209,0.21114094115421292,0.9856376965719141,0.08474167637026613,0.05354865512559724,0.06511484417713635
4,1.5,1.0,2000,90,random_SPD_matched_spectrum,0.9719494366684467,0.20557480662458283,0.9864735268738845,0.08223889933029147,0.024690750118833527,0.06331159341629382
4,1.5,1.0,2000,90,PCA_rank_matched,1.1044183272642616,0.25441369530195856,0.9724841399825186,0.11729420279255377,0.15329792873693393,0.07951151984578245
4,1.5,1.0,2000,90,unknown_symplectic_structure,0.0,1.0,,,,0.3112499632027014
4,1.5,1.0,2000,91,diagonal_only,1.017625816222916,0.1489582124416501,0.9919635667015407,0.0633894048657156,0.058943231002179276,0.046013564099258594
4,1.5,1.0,2000,91,coordinate_shuffled,0.9569817922912682,0.2373964195102479,0.9787090308883539,0.1031769574848136,0.03472617903656117,0.07349033558405989
4,1.5,1.0,2000,91,random_SPD_matched_spectrum,0.9483611204471092,0.27070558119393084,0.9752899381433423,0.1111531867664119,0.043168563808022115,0.08353011726316963
4,1.5,1.0,2000,91,PCA_rank_matched,1.0868850426610301,0.26040888732521505,0.97105562632342,0.12030040248598496,0.1655742775779124,0.08145369460371647
4,1.5,1.0,2000,91,unknown_symplectic_structure,0.0,1.0,,,,0.3113122387344227
4,1.5,1.0,2000,92,diagonal_only,1.06787845916352,0.1446786380485436,0.992701341222638,0.06040967959425871,0.0749340104576418,0.04505943664642289
