model,dimension,seed,beta,scale_estimate,generator_error,flow_frobenius_error,expectation_trajectory_error
random_hermitian,2,18,4.0,4.000000000000035,1.7626382543846867e-16,1.2995799639950219e-15,4.4009288731950166e-16
random_hermitian,2,19,0.25,0.2500000000000002,6.427586567935256e-16,8.93381180749224e-16,2.3243187486036183e-16
random_hermitian,2,19,0.5,0.4999999999999999,3.3158772136547794e-16,8.904026185548845e-16,2.1573191578324802e-16
random_hermitian,2,19,1.0,0.9999999999999998,2.7889293263453164e-16,2.096126424683328e-15,4.1009485479731593e-16
random_hermitian,2,19,2.0,2.000000000000002,2.885143783783369e-16,1.1116287464709413e-15,2.5538534170379943e-16
random_hermitian,2,19,4.0,4.0000000000000755,3.6833802444231157e-16,1.0072699828082572e-15,2.3280272952211285e-16
random_hermitian,2,20,0.25,0.24999999999999992,4.509802670978459e-16,1.6903091825908647e-15,3.0703405254300405e-16
random_hermitian,2,20,0.5,0.4999999999999997,1.2162266099145002e-15,1.2848029633048089e-15,1.5931441091331965e-16
random_hermitian,2,20,1.0,1.0000000000000002,2.633171303986471e-16,1.4659302498686664e-15,2.755488214540249e-16
random_hermitian,2,20,2.0,2.0000000000000004,3.0909054511528986e-16,1.827700965009931e-15,3.128453761875263e-16
random_hermitian,2,20,4.0,4.000000000000035,3.06856115441021e-16,3.1376621128989887e-15,4.519579033364976e-16
random_hermitian,2,21,0.25,0.24999999999999986,1.1972119543572448e-15,7.313445557127638e-16,1.72673130161226e-16
random_hermitian,2,21,0.5,0.4999999999999999,3.0940692904508135e-16,5.283407780613317e-16,1.7067744331135672e-16
random_hermitian,2,21,1.0,0.9999999999999996,1.9697032177760385e-16,6.603891245921413e-16,7.324976587550589e-17
random_hermitian,2,21,2.0,1.9999999999999987,2.358190533168107e-16,7.535337989855579e-16,1.4704183595117272e-16
random_hermitian,2,21,4.0,3.999999999999747,1.9205459962240073e-16,9.951627692649438e-16,2.1227514757385373e-16
random_hermitian,2,22,0.25,0.2500000000000001,5.553015819911234e-16,1.476787682318667e-15,3.519515484628545e-16
random_hermitian,2,22,0.5,0.5000000000000002,2.8121680171633497e-16,9.429626509730546e-16,2.1539762016126042e-16
random_hermitian,2,22,1.0,0.9999999999999997,4.335560530427718e-16,7.1467839622329075e-16,1.5790227424724641e-16
random_hermitian,2,22,2.0,2.000000000000002,1.1954711253450874e-16,1.3241791999101897e-15,3.68709535596143e-16
random_hermitian,2,22,4.0,3.9999999999999516,1.6259954726063695e-16,1.3044370286016021e-15,1.7507652394047097e-16
random_hermitian,2,23,0.25,0.25000000000000006,2.8673450002266644e-16,5.574910065113162e-16,1.2550500161381797e-16
random_hermitian,2,23,0.5,0.5,2.7340734550565908e-16,4.748425234914918e-16,4.965645949983609e-17
random_hermitian,2,23,1.0,1.0,2.7344491536580783e-16,3.562331576266082e-16,7.025630077706067e-17
random_hermitian,2,23,2.0,1.9999999999999991,1.429116828545368e-16,7.296820394507418e-16,2.0641745856927108e-16
random_hermitian,2,23,4.0,3.999999999999826,2.0541962677521574e-16,1.2407463561600132e-15,2.883831428091752e-16
random_hermitian,2,24,0.25,0.25000000000000006,1.0079055169018599e-15,1.0178372412730626e-15,2.912370326741642e-16
random_hermitian,2,24,0.5,0.4999999999999999,2.0986014505576598e-16,1.4791407503036671e-15,4.988606213038787e-16
random_hermitian,2,24,1.0,0.9999999999999993,2.8336677537598333e-16,6.918278509912783e-16,2.5453500223658944e-16
random_hermitian,2,24,2.0,2.0000000000000013,1.8896306857365326e-16,1.2064393294991233e-15,5.141686181307696e-16
random_hermitian,2,24,4.0,4.000000000000033,1.7896848765996448e-16,1.2036219365801675e-15,4.338292371495937e-16
random_hermitian,2,25,0.25,0.25000000000000017,5.634311251668686e-16,1.2988885106197804e-15,1.3518590752730248e-16
random_hermitian,2,25,0.5,0.49999999999999994,5.827903368684617e-16,4.726806055975275e-16,9.667626549333291e-17
random_hermitian,2,25,1.0,1.0000000000000002,5.003368023322576e-16,1.0573558394025803e-15,2.2945659782723115e-16
