control,dimension,scale_estimate,generator_error,flow_frobenius_error,expectation_trajectory_error
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.2762635241106273,0.12819240914359056
gibbs_eigenvectors_rotated,4,0.0,1.0,1.7380063862408752,0.14283252595333812
incorrect_diagonal_observable_algebra,4,1.0,,1.6299063357649824e-15,3.3087681899912626e-16
generic_non_gibbs_unrelated_H,4,0.09986866559259129,0.9944594407350965,1.4871704003439095,0.11681070341455921
gibbs_eigenvectors_rotated,4,0.3891166595970185,0.9211884851777393,1.4698719928107822,0.09367197764886963
incorrect_diagonal_observable_algebra,4,1.0,,2.6291014829153923e-15,4.007319649723673e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.5292609944383435,0.10288373403634662
gibbs_eigenvectors_rotated,4,0.20146440201798846,0.9794958370098028,1.4036309114072982,0.1010083465561347
incorrect_diagonal_observable_algebra,4,1.0,,2.6673350727280957e-15,4.577935253102794e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.5070217024753512,0.12782507526196896
gibbs_eigenvectors_rotated,4,0.32106076423927415,0.9470585967436719,1.3334234551852366,0.1119694608413317
incorrect_diagonal_observable_algebra,4,1.0,,2.273136526953325e-15,2.740429411174361e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.5969831254026297,0.08415961576741149
gibbs_eigenvectors_rotated,4,0.0,1.0,1.5366369914025706,0.10276431960061509
incorrect_diagonal_observable_algebra,4,1.0,,2.2953972534936234e-15,4.559774866713661e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.8048232105837734,0.14310553420108105
gibbs_eigenvectors_rotated,4,0.2838125789857327,0.9588797734906432,1.5268467025618808,0.106051640018295
incorrect_diagonal_observable_algebra,4,1.0,,2.0258480730281766e-15,2.0824271126929084e-16
generic_non_gibbs_unrelated_H,4,0.2582978108673926,0.9785670777070381,1.673595037984761,0.09371926105795672
gibbs_eigenvectors_rotated,4,0.0,1.0,1.471107749701969,0.133823836333143
incorrect_diagonal_observable_algebra,4,1.0,,2.3763280351211446e-15,4.901244340937972e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.5088551171760594,0.13553104633655377
gibbs_eigenvectors_rotated,4,0.0,1.0,1.5980733892595265,0.11575512037456714
incorrect_diagonal_observable_algebra,4,1.0,,2.9746901394909025e-15,5.7892059202036e-16
generic_non_gibbs_unrelated_H,4,0.07492254186097666,0.9974027002139634,1.5973059963144158,0.10268184752139575
gibbs_eigenvectors_rotated,4,0.0,1.0,1.5470055700304859,0.1342260875585757
incorrect_diagonal_observable_algebra,4,1.0,,1.912450614667988e-15,2.8646789801411996e-16
generic_non_gibbs_unrelated_H,4,0.01946601795492909,0.9998331829905959,1.532240186263001,0.12462161591097387
gibbs_eigenvectors_rotated,4,0.09751181094698173,0.9952343677374894,1.4961030386696914,0.10104770135709087
incorrect_diagonal_observable_algebra,4,1.0,,2.8584703958770145e-15,3.7272702285706673e-16
generic_non_gibbs_unrelated_H,4,0.17015732236269585,0.9811036519800014,1.2632490287518723,0.04394686026042763
gibbs_eigenvectors_rotated,4,0.14287829251975495,0.9897402656892562,1.5344735149700717,0.0764487636803755
incorrect_diagonal_observable_algebra,4,1.0,,2.8693030294378275e-15,1.719327805127513e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.1302740373851996,0.062121556160460736
gibbs_eigenvectors_rotated,4,0.5481698718596316,0.8363670196662432,1.2589508076762062,0.08459063839668249
incorrect_diagonal_observable_algebra,4,1.0,,2.161242682158697e-15,2.764607119620788e-16
generic_non_gibbs_unrelated_H,4,0.01781657031613033,0.9996608684714552,1.0387527890787216,0.05171082834367998
gibbs_eigenvectors_rotated,4,0.037799347286033264,0.9992853493095702,1.4110998139007276,0.06721537171404506
incorrect_diagonal_observable_algebra,4,1.0,,2.877572143978756e-15,2.827084269810265e-16
generic_non_gibbs_unrelated_H,4,0.38666645410031103,0.912303275837635,1.4108714495906447,0.08811148954321953
gibbs_eigenvectors_rotated,4,0.095599352055014,0.9954198932544304,1.660857931165334,0.0899829556780914
incorrect_diagonal_observable_algebra,4,1.0,,2.2913825746046936e-15,3.877106968808164e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.0490145285139485,0.0883600461583945
gibbs_eigenvectors_rotated,4,0.009909852189656676,0.9999508962091984,1.4595769832400038,0.12873233099113937
incorrect_diagonal_observable_algebra,4,1.0,,2.6371429018602653e-15,2.2447321779139885e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.0560499736075741,0.07874985914232871
gibbs_eigenvectors_rotated,4,0.010753222400551989,0.9999421824325666,1.498220414915597,0.14354053540391226
incorrect_diagonal_observable_algebra,4,1.0,,2.9054963715356107e-15,3.2999319422855057e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.5758234946669303,0.10442164228010857
gibbs_eigenvectors_rotated,4,0.290371992353784,0.9569138446362316,1.474841588536063,0.11096267218804541
