stage,seed,negative_class,metric,score,direct_edge,mechanism,T_iso,T_floor,T_pers
confirmatory,10002,matched_autocorrelation,correlon_v1,0.016572820361826546,False,separate_VAR1_autocorrelation_match,0.003492881263757089,0.07863375649074844,0.0776653926843987
confirmatory,10002,matched_autocorrelation,pearson,0.06959790190362859,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10002,matched_autocorrelation,mutual_information,0.014144642830226872,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10002,matched_autocorrelation,largest_covariance_eigenvalue,1.646907240449479,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10002,matched_autocorrelation,pca_rank1_explained_variance,0.13724227003745657,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10002,matched_autocorrelation,spectral_coherence,0.12654353711831023,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10002,matched_autocorrelation,autocorrelation_persistence,0.6032132783770144,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10002,matched_autocorrelation,linear_CKA,0.027278374419659537,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10002,matched_autocorrelation,VAR_ARX_predictive,0.03361653354769195,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10002,switching_mode,correlon_v1,0.0,False,switching_direct_edge,0.009840054283553112,-0.1045936814873306,0.09896059000674956
confirmatory,10002,switching_mode,pearson,0.07193435802320486,False,switching_direct_edge,,,
confirmatory,10002,switching_mode,mutual_information,0.01453295983023939,False,switching_direct_edge,,,
confirmatory,10002,switching_mode,largest_covariance_eigenvalue,1.5116182576158277,False,switching_direct_edge,,,
confirmatory,10002,switching_mode,pca_rank1_explained_variance,0.1259681881346523,False,switching_direct_edge,,,
confirmatory,10002,switching_mode,spectral_coherence,0.180446352382222,False,switching_direct_edge,,,
confirmatory,10002,switching_mode,autocorrelation_persistence,0.634659036120549,False,switching_direct_edge,,,
confirmatory,10002,switching_mode,linear_CKA,0.030023181441820184,False,switching_direct_edge,,,
confirmatory,10002,switching_mode,VAR_ARX_predictive,0.04497968219383536,False,switching_direct_edge,,,
confirmatory,10002,transient_mode,correlon_v1,0.06377394814767079,False,transient_direct_edge,0.04344817265647527,0.09360845839245352,0.07045897736530288
confirmatory,10002,transient_mode,pearson,0.0595925428780806,False,transient_direct_edge,,,
confirmatory,10002,transient_mode,mutual_information,0.011399339736897995,False,transient_direct_edge,,,
confirmatory,10002,transient_mode,largest_covariance_eigenvalue,1.414569905798691,False,transient_direct_edge,,,
confirmatory,10002,transient_mode,pca_rank1_explained_variance,0.11788082548322419,False,transient_direct_edge,,,
confirmatory,10002,transient_mode,spectral_coherence,0.16236750157986335,False,transient_direct_edge,,,
confirmatory,10002,transient_mode,autocorrelation_persistence,0.5939147776082546,False,transient_direct_edge,,,
confirmatory,10002,transient_mode,linear_CKA,0.020812473857788238,False,transient_direct_edge,,,
confirmatory,10002,transient_mode,VAR_ARX_predictive,0.033540347234829404,False,transient_direct_edge,,,
confirmatory,10002,nonstationary_drift,correlon_v1,0.0,False,shared_deterministic_nonstationary_drift,-0.0179037264046958,-0.1327650400383879,-0.0310679218181123
confirmatory,10002,nonstationary_drift,pearson,0.2460381107994292,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10002,nonstationary_drift,mutual_information,0.06305706761811658,False,shared_deterministic_nonstationary_drift,,,
