stage,seed,target_class,metric,base_score,P,D,Delta,weakest_preserve_transform,strongest_destroy_transform,T_iso,T_floor,T_pers
pilot,5,persistent_shared_mode,pearson,0.1906867322137968,0.9139378329407019,0.7459591260710507,0.1679787068696511,P4_orthogonal_basis_rotation,D6_common_driver_replacement,,,
pilot,5,persistent_shared_mode,mutual_information,0.06597794437685567,0.9929358503625291,0.44987182609733295,0.5430640242651961,P5_observation_noise,D6_common_driver_replacement,,,
pilot,5,persistent_shared_mode,largest_covariance_eigenvalue,2.710081484374924,0.9477731751246221,0.9071511222851338,0.040622052839488276,P7_coarse_graining,D6_common_driver_replacement,,,
pilot,5,persistent_shared_mode,pca_rank1_explained_variance,0.22584012369791032,0.9969544285671331,0.9071511222851338,0.08980330628199928,P5_observation_noise,D6_common_driver_replacement,,,
pilot,5,persistent_shared_mode,spectral_coherence,0.2339261433168179,0.6457331906532212,1.0,-0.3542668093467788,P2_global_scaling,D6_common_driver_replacement,,,
pilot,5,persistent_shared_mode,autocorrelation_persistence,0.6906391061691323,0.863041158828871,1.0,-0.136958841171129,P7_coarse_graining,D2_phase_randomization,,,
pilot,5,persistent_shared_mode,linear_CKA,0.19987246175086804,0.8531163232456555,0.5560474137420868,0.2970689095035687,P2_global_scaling,D6_common_driver_replacement,,,
pilot,5,persistent_shared_mode,VAR_ARX_predictive,0.04832643784467566,0.9717309567961985,0.7931744327083992,0.17855652408779932,P5_observation_noise,D6_common_driver_replacement,,,
pilot,5,direct_coupling_SCM,correlon_v1,0.07744692720489005,0.0,1.0,-1.0,P7_coarse_graining,D8_block_shuffle,0.02119364869726721,0.28301056694654686,0.0889859381232076
pilot,5,direct_coupling_SCM,pearson,0.07145878869276678,0.9894049587492083,0.9797537383865139,0.00965122036269439,P5_observation_noise,D8_block_shuffle,,,
pilot,5,direct_coupling_SCM,mutual_information,0.015941460159334175,0.9743896930787906,0.9491204691514936,0.025269223927297024,P5_observation_noise,D4_edge_cutting,,,
pilot,5,direct_coupling_SCM,largest_covariance_eigenvalue,1.5211236183073624,0.8496587409933488,1.0,-0.15034125900665118,P7_coarse_graining,D8_block_shuffle,,,
pilot,5,direct_coupling_SCM,pca_rank1_explained_variance,0.1267603015256136,1.0,1.0,0.0,P1_node_permutation,D8_block_shuffle,,,
pilot,5,direct_coupling_SCM,spectral_coherence,0.12095169022677439,0.9332391608742338,1.0,-0.06676083912576625,P2_global_scaling,D2_phase_randomization,,,
pilot,5,direct_coupling_SCM,autocorrelation_persistence,0.6063779228467058,0.7948198766441614,0.9967977489852747,-0.2019778723411133,P7_coarse_graining,D2_phase_randomization,,,
pilot,5,direct_coupling_SCM,linear_CKA,0.0297349395083827,0.9744783738192586,0.966277701688121,0.00820067213113762,P2_global_scaling,D4_edge_cutting,,,
pilot,5,direct_coupling_SCM,VAR_ARX_predictive,0.05210503171114472,0.994513619491755,0.6648597833600595,0.3296538361316955,P5_observation_noise,D3_IAAFT_surrogate,,,
pilot,5,history_dependent_relational_mode,correlon_v1,0.0,0.0,1.0,-1.0,P1_node_permutation,D6_common_driver_replacement,-0.019837309521135896,-0.05121112599190499,-0.05394505709521069
