seed,family,family_parameter,history_length,p_required_exact,p_star,lag_grid_exhausted,selected_lag_nmse,d_required,d_star,state_grid_exhausted,state_approximation_nmse,heldout_prediction_NMSE,heldout_intervention_NMSE,predictive_log_likelihood,memory_kernel_reconstruction_error,long_horizon_error,parameter_count_lag,parameter_count_state,stage
30001,M3_sum_exponential_kernel,0.0,128,33,64,False,0.0039466121604297,3,4,False,0.01,0.0045551434098299,0.0050287368690815,2.69574913235987,0.0628220674638279,0.00397024236702,66,20,development
30001,M3_sum_exponential_kernel,0.0,256,33,64,False,0.00397024236702,3,4,False,0.01,0.0045972264477603,0.0050736555318027,2.6911510517356274,0.0630098592842422,0.0039702432109321,66,20,development
30001,M3_sum_exponential_kernel,0.0,512,33,64,False,0.0039702432109321,3,4,False,0.01,0.0058073166966517,0.0062837458819636,2.5743183285144493,0.0630098659809091,0.0039702432109321,66,20,development
30001,M3_sum_exponential_kernel,0.0,1024,33,64,False,0.0039702432109321,3,4,False,0.01,0.0042789682304765,0.0047553974157884,2.7270216830477807,0.0630098659809091,0.0039702432109321,66,20,development
30001,L1_power_law_kernel,0.5,16,14,16,False,0.0,1,1,False,0.01,0.0001306034086815,0.0001306034086815,4.471672620648629,0.0,0.2101936273106165,18,2,development
30001,L1_power_law_kernel,0.5,32,28,32,False,0.0,1,1,False,0.01,0.0010338538070582,0.0010338538070582,3.437230949357788,0.0,0.1783527942940097,34,2,development
30001,L1_power_law_kernel,0.5,64,53,64,False,0.0,1,1,False,0.01,0.0007839876048033,0.0007839876048033,3.575558673969307,0.0,0.1534877300273212,66,2,development
30001,L1_power_law_kernel,0.5,128,103,128,False,0.0,1,1,False,0.01,0.0016799426039858,0.0016799426039858,3.1944978252223515,0.0,0.1340299044410481,130,2,development
30001,L1_power_law_kernel,0.5,256,198,256,False,0.0,1,1,False,0.01,0.0010047852917572,0.0010047852917572,3.4514907001689683,0.0,0.118627462360391,258,2,development
30001,L1_power_law_kernel,0.5,512,383,256,True,0.118627462360391,1,1,False,0.01,0.1188832060902535,0.1331185015735005,1.0648068646228412,0.3444233766171963,0.2122708380751308,258,2,development
30001,L1_power_law_kernel,0.5,1024,740,256,True,0.2122708380751308,1,1,False,0.01,0.2128413938417203,0.238313894410736,0.7736040102491504,0.4607285948094939,0.2879988280167165,258,2,development
30001,L2_fractional_dynamics,0.28,16,4,4,False,0.0493526530517656,2,2,False,0.01,0.0511886329843803,0.0571109513505922,1.4861188918044066,0.2221545701797864,0.0631197350701168,6,6,development
30001,L2_fractional_dynamics,0.28,32,6,8,False,0.0345889160284474,2,2,False,0.01,0.0365565981038719,0.0407072680272856,1.6544467932004256,0.1859809560907984,0.0446679476187176,10,6,development
30001,L2_fractional_dynamics,0.28,64,7,8,False,0.0446679476187176,2,2,False,0.01,0.0456748736997761,0.0510350274140222,1.5431034709578126,0.2113479302446977,0.0519211542424603,10,6,development
30001,L2_fractional_dynamics,0.28,128,9,16,False,0.0321750228839447,2,2,False,0.01,0.0346746014659601,0.0385356042120334,1.68087390312934,0.179373974934896,0.037545528802646,18,6,development
